id	szemely	hely	avatas	rogzites
2481	Petőfi Sándor	Szeghalom	1980	2016.06.10
2482	Than Károly	Budapest	1999	2011.12.22
2483	József Attila	Mosonmagyaróvár		2018.04.12
2484	Erdei Ferenc	Vésztő-Mágor	1986	2011.10.30
2485	Kálvin János	Pécs	2009	2009.11.09
2486	II. Rákóczi Ferenc	Mogyoróska	1953	2017.06.12
2487	Mechwart András	Debrecen	1956	2010.02.03
2488	Kisfaludi Lipthay Sándor	Budapest	1909	2014.07.29
2489	Kossuth Lajos	Pápa	1991	2009.08.19
2490	Petőfi Sándor	Kiskunfélegyháza	1966	2010.12.15
2491	II. Rákóczi Ferenc	Zirc	2010	2010.02.03
2492	Gyarmati Dezső	Hódmezővásárhely	2009	2018.01.25
2493	Tompa Mihály	Sárospatak	1896	2009.06.03
2494	Attila	Tápiószentmárton	2008	2016.05.05
2495	Kossuth Lajos	Báránd	1896	2012.03.27
2496	Neumann János	Budapest	1993	2012.01.19
2497	Péceli Béla	Zalaegerszeg	2008	2012.09.18
2498	Szent István	Kisújszállás	2000	2009.10.26
2499	IV. Kun László	Ópusztaszer	2001	2010.05.13
2500	Verseghy Ferenc	Szolnok	1934	2009.07.31
2501	Szemere Bertalan	Vatta	1974	2011.11.07
2502	Csonka János	Budapest	1989	2008.12.31
2503	Kodály Zoltán	Budapest	1978	2016.04.06
2504	Baross Gábor	Győr	1897	2010.05.03
2505	Antall József	Szombathely	2002	2011.01.07
2506	Pálfy-Budinszky Endre	Szeged	2006	2010.06.16
2507	Batthyány Lajos gróf	Pécs	1999	2009.11.17
2508	Zsigmondy Vilmos	Miskolc-Egyetemváros	1914	2014.12.04
2509	Bodor Endre	Veszprém	2011	2012.06.21
2510	Osztróvszky József	Szeged	1999	2010.03.06
2511	Bartók Béla	Szolnok	1983	2011.04.02
2512	Irányi Dániel	Budapest	1904	2015.10.07
2513	Bem József	Kiskunfélegyháza	1980	2009.09.30
2514	Erkel Ferenc	Budapest	2001	2009.04.15
2515	Kovács Ferenc	Kaposvár	2016	2016.05.10
2516	Ábrányi Kornél	Nyírábrány	1923	2015.02.15
2517	Kodály Zoltán	Szeged	1948	2015.08.26
2518	Szent István	Sándorfalva	2000	2010.01.18
2519	Kossuth Lajos	Bihartorda	1898	2013.03.16
2520	Gustav Mahler	Budapest	2010	2010.09.06
2521	Árkövy József	Budapest	1927	2016.12.04
2522	Petőfi Sándor	Sárbogárd	1975	2011.11.23
2523	Szent István	Barcs	2000	2011.07.28
2524	Bartók Béla	Gyula	1962	2009.10.07
2525	Kölcsey Ferenc	Debrecen	2006	2009.11.11
2526	Semmelweis Ignác	Balatonfüred	2016	2018.11.05
2527	Hunyadi János	Tatabánya	1960	2009.06.25
2528	Nádasdy Pál gróf	Rábatamási	2006	2014.03.01
2529	Petőfi Sándor	Kiskunlacháza	1949	2014.09.29
2530	Kossuth Lajos	Kalocsa	2002	2008.05.06
2531	Deák Ferenc	Balatonfenyves	2015	2016.10.10
2532	Batthyány-Strattmann László	Körmend	1999	2011.02.10
2533	Urbán György	Sárospatak	2012	2014.07.03
2534	Pongrátz Gergely	Perkáta	2016	2016.10.27
2535	Szent István	Várpalota	2013	2015.01.27
2536	Kossuth Lajos	Szegvár	1991	2010.05.30
2537	Gajdócsi István	Baja		2008.05.26
2538	Stefánia főhercegné	Siófok	2005	2009.07.21
2539	Horváth (Stancsics) Márk	Szigetvár	1971	2009.09.10
2540	Kazinczy Lajos	Sárospatak	1931	2009.06.03
2541	Szakmáry Károly	Hollóháza	1988	2012.05.10
2542	Zrínyi Miklós	Zalaszentgyörgy	2017	2017.11.24
2543	Szent István	Tápiószentmárton	2000	2014.06.05
2544	Szent István	Baja-Bajaszentistván	2001	2010.10.02
2545	Bókay Árpád	Budapest	1997	2010.03.31
2547	Kossuth Lajos	Sarkad	1902	2013.06.19
2548	Eötvös József báró	Szekszárd	1897	2013.10.31
2549	Roth Gyula	Sopron	1964	2010.09.30
2550	Munkácsy Mihály	Alsómocsolád	1994	2010.07.04
2551	Semmelweis Ignác	Debrecen	2008	2009.02.06
2552	Karácsony Sándor	Debrecen	2000	2015.02.28
2553	Radnóti Miklós	Budapest	2006	2012.06.14
2554	Márton Áron	Lakitelek	2001	2010.07.23
2555	Kossuth Lajos	Kiskőrös	2005	2016.12.13
2556	Petőfi Sándor	Csenger	1948	2012.10.07
2557	Kodály Zoltán	Mohács	1982	2008.04.13
2558	Beethoven	Budapest	1906	2009.09.19
2559	Erkel Ferenc	Budapest	1920	2013.05.02
2560	Pállya Celesztin	Nagymaros	2015	2015.06.19
2561	Eötvös Lóránd	Budapest		2012.10.26
2562	Mitterpacher Lajos	Budapest	1962	2009.04.02
2563	Kodály Zoltán	Budapest	1967	2012.08.17
2564	Perényi Péter	Füzér	2009	2012.04.12
2565	Ybl Miklós	Szeged	1930	2011.06.18
2566	Petőfi Sándor	Kisapostag	2002	2010.04.20
2567	Mikszáth Kálmán	Balassagyarmat	1962	2010.07.25
2568	Piers Vilmos	Kőszeg	1974	2010.08.13
2569	Török Ignác	Gödöllő	1949	2011.01.26
2570	Móricz Zsigmond	Kisújszállás	1996	2013.10.31
2571	Móricz Zsigmond	Hévíz	1983	2008.07.26
2572	Clark Ádám	Budapest	1966	2009.03.17
2573	Boczkó Dániel	Békéscsaba	1998	2009.12.11
2574	Bessenyei György	Bakonszeg	1991	2010.11.09
2575	Damjanich János	Szolnok	1984	2011.11.19
2576	Kállay András	Nyíregyháza	2006	2010.11.21
2577	Némethi Ferenc	Tokaj	2005	2010.07.26
2578	B. Tóth Ferenc	Nagykőrös	1937	2009.10.27
2579	Farkas Imre	Hatvan	1979	2012.12.13
2580	II. Rákóczi Ferenc	Sopron		2009.11.24
2581	Zakariás József	Felcsút	2014	2014.08.26
2582	Mária Ludovika	Budapest	2010	2015.06.18
2583	Dancs Lajos	Nagyecsed	2003	2014.09.18
2584	Székely Bertalan	Szeged	1930	2010.06.13
2585	Lékai László	Balatonlelle	1990	2010.09.03
2586	Lewis Hamilton	Mogyoród	2008	2012.08.02
2587	Klebelsberg Kuno	Röszke	2006	2014.06.24
2588	Krúdy Gyula	Siófok	2004	2009.05.11
2589	Lénárd Fülöp	Eger	2000	2011.09.19
2590	Szabó Dénes	Sopron	2002	2010.09.21
2591	Petőfi Sándor	Kartal	1998	2016.02.02
2592	Rómer Flóris	Győr	1990	2010.07.16
2593	Józef Wysocki	Budapest	1976	2009.02.03
2594	Kossuth Lajos	Orosháza	1984	2015.01.26
2595	József Attila	Monor	1960	2011.10.24
2596	Széchenyi István gróf	Balatonföldvár	1960	2009.05.28
2597	Buttler János	Budapest	1903	2018.04.19
2598	Szár László	Balatonszárszó	2015	2015.07.04
2599	Teller Ede	Paks	1995	2009.11.14
2600	Hensch Árpád	Gyöngyös	1994	2012.05.26
2601	Táncsics Mihály	Ácsteszér	1886	2011.12.14
2602	Gózon Imre	Szentgyörgyvölgy	1996	2010.05.03
2603	Simándy József	Keszthely	1999	2013.12.09
2604	Vitális István	Miskolc-Egyetemváros	1992	2009.11.11
2605	Bajza József	Budapest	1938	2013.02.08
2606	Arany János	Rábapaty	1996	2013.07.16
2607	Andrássy Gyula	Budapest	1998	2013.03.07
2608	Diószegi Sámuel	Debrecen	2007	2014.10.06
2609	Csokonai Vitéz Mihály	Komárom	1983	2014.03.31
2610	Arany János	Debrecen	1967	2009.07.09
2611	Ady Endre	Zalaegerszeg	1958	2015.05.20
2612	Noszlopy Gáspár	Kaposvár	1975	2010.05.14
2613	Döbrentei Gábor	Budapest	2001	2008.06.14
2614	Széchenyi István gróf	Dunaújváros	2006	2009.05.30
2615	Erzsébet királyné	Miskolc	2000	2009.11.06
2616	Politzer Ádám	Albertirsa	1982	2013.04.24
2617	Bocskai István	Nyíradony-Tamásipuszta	2001	2011.02.15
2618	Szabó Pál	Vésztő	1977	2012.08.14
2619	Hankóczy Jenő	Budapest	1984	2008.07.25
2620	Zrínyi Miklós	Balatonakarattya	2008	2010.04.15
2621	Klebelsberg Kuno	Szeged	2014	2017.05.15
2622	Káplár Miklós	Hajdúböszörmény	1984	2009.06.26
2623	F. Bede László	Szolnok	1963	2018.03.20
2624	Neumann János	Kecskemét	2002	2008.05.10
2625	Illyés Gyula	Szekszárd	1994	2014.02.28
2626	Markusovszky Lajos	Budapest	1965	2012.09.26
2627	Homoki-Nagy István	Alcsútdoboz	2014	2015.04.14
2628	Kesjár Csaba	Budapest	2018	2018.07.14
2629	Szent István	Gödöllő	2012	2014.05.10
2630	Gombocz Zoltán	Budapest	2006	2015.08.07
2631	Egressy Béni	Sárospatak	1989	2008.11.27
2632	Láng Géza	Keszthely	1990	2014.08.13
2633	Koncz János	Szombathely	1974	2011.10.02
2634	Jób Dániel	Budapest	1984	2012.01.14
2635	Simándy József	Lakitelek	2004	2010.07.04
2636	Luther Márton	Békéscsaba	1998	2009.12.04
2637	Kodály Zoltán	Komló	1976	2012.06.10
2638	Venczell Béla	Budapest		2014.05.21
2639	Felkai László	Budapest	1999	2012.09.07
2640	Zalka Máté	Mátészalka	1966	2013.12.10
2641	Kormos István	Mosonmagyaróvár	2007	2015.01.25
2642	Wass Albert	Rátót	2008	2015.11.09
2643	Petőfi Sándor	Cserkeszőlő	2002	2010.05.29
2644	Gregor József	Szeged	2010	2013.10.24
2645	Magyary Zoltán	Kápolnásnyék	2018	2018.07.26
2646	Vásárhelyi Pál	Szolnok	1957	2010.07.29
2647	Petőfi Sándor	Aszód	1988	2015.12.09
2648	Bitskey Aladár	Eger	2001	2011.03.18
2649	Wass Albert	Soltvadkert	2007	2009.08.10
2650	Zrínyi Miklós	Fót		2016.11.06
2651	Réczey Imre	Budapest	1937	2013.05.13
2652	Babits Mihály	Szekszárd	1958	2008.04.22
2653	Emerson Fittipaldi	Mogyoród	2003	2012.09.18
2654	Liszt Ferenc	Budapest	2013	2013.09.04
2655	Jean Pierre Pedrazzini	Budapest	2006	2009.02.23
2656	Sztehlo Gábor	Budapest	2016	2016.04.16
2657	Babics Antal	Budapest	2002	2016.01.16
2658	Tildy Zoltán	Szeghalom	1989	2009.09.27
2659	Gárdonyi Géza	Devecser	1973	2011.08.29
2660	Wass Albert	Nagyatád	2007	2016.09.11
2661	Kossuth Lajos	Cigánd	2004	2011.06.26
2662	Knézich Károly	Nagykanizsa	2000	2016.01.14
2663	Sztárai Mihály	Nagyharsány	1980	2010.10.04
2664	Petőfi Sándor	Maglód	1948	2011.09.12
2665	Baross Gábor	Budapest	2011	2012.06.19
2666	Vázsonyi Vilmos	Budapest	2001	2008.09.07
2667	Szent István	Karácsond	2012	2015.07.20
2668	Erzsébet királyné	Miskolc	1899	2009.05.29
2669	Kárpáti György	Budapest	1999	2013.01.10
2670	Szent István	Gérce	2000	2014.03.12
2671	Semmelweis Ignác Fülöp	Budapest	1960	2010.01.27
2672	Széchenyi István gróf	Szeged	1989	2010.04.09
2673	Madách Imre	Keszeg	2014	2015.10.08
2674	Szent Imre	Budapest	2014	2014.10.06
2675	Szolcsánszky Vilmos	Budapest	2017	2017.04.02
2676	Wellmann Oszkár	Hódmezővásárhely	1986	2008.05.06
2677	Ady Endre	Gyula	1974	2009.08.10
2678	József Attila	Budapest	1965	2009.01.13
2679	Kotlán Sándor	Kulcs	2016	2017.01.10
2680	Verebélÿ László	Dunaújváros	1984	2009.08.01
2681	Szent István	Balatonboglár	2001	2008.07.12
2682	Kulka Frigyes	Szeged	1994	2017.06.28
2683	Deák Ferenc	Sopron	2003	2009.10.21
2684	Arany János	Gyál	2006	2011.04.21
2685	Szent Erzsébet	Pere	2008	2010.01.29
2686	Bajza József	Hatvan	1965	2013.01.06
2687	Zsigmondy Vilmos	Harkány	2006	2013.05.04
2688	Vadász Elemér	Székesfehérvár	1977	2011.07.13
2689	Takács Zoltán	Nagykanizsa	2000	2015.06.02
2690	Lőrincze Lajos	Szentgál	2015	2016.04.05
2691	Hugo Hartung	Székkutas	2009	2010.08.23
2692	Véghely Dezső	Balatonalmádi	2018	2018.05.02
2693	Csontváry Kosztka Tivadar	Tiszalök	1986	2015.07.07
2694	Szent István	Bátya	2010	2011.12.31
2695	Surányi Endre	Kazincbarcika	1998	2009.09.08
2696	Szent István	Budapest		2018.07.18
2697	Ganz Ábrahám	Budapest	1967	2009.08.07
2698	Kossuth Lajos	Letenye	1998	2011.07.22
2699	Zrínyi Miklós	Pécs	1926	2008.02.18
2700	Sályi István	Miskolc-Egyetemváros	1997	2014.08.08
2701	Nagy Attila	Miskolc	2006	2009.11.09
2702	Aladar Paasonen	Nagykőrös	2012	2012.09.18
2703	Kossuth Lajos	Győrújbarát	2003	2013.07.04
2704	Gárdonyi Géza	Gárdony-Agárd	1939	2012.04.18
2705	Eötvös Károly	Mezőszentgyörgy	1996	2011.04.22
2706	Szegedi Kis István	Szeged	2002	2008.01.24
2707	Griger Miklós	Bicske	1991	2014.08.05
2708	Petőfi Sándor	Lakitelek	2012	2012.03.20
2709	Molnár Béla	Budapest	1978	2008.12.01
2710	Szabó Lőrinc	Balassagyarmat	2017	2017.10.08
2711	Arany János	Debrecen	1957	2008.12.16
2712	Sántha Kálmán	Debrecen	2006	2009.01.29
2713	Zrínyi Miklós	Szigetvár	2007	2009.09.10
2714	Petőfi Sándor	Pápa	1872	2015.06.16
2715	Horn Artúr	Budapest	2010	2012.04.18
2716	Korányi Frigyes	Budapest	2005	2012.08.16
2717	Tóth Mihály	Szeged	2007	2010.06.18
2718	Tinódi Lantos Sebestyén	Rózsafa	1990	2016.08.11
2719	Dessewffy Arisztid gróf	Pécs	1993	2008.02.06
2720	Ybl Miklós	Debrecen		2018.04.01
2721	Mihailich Győző dr.	Budapest	1983	2009.01.02
2722	Petőfi Sándor	Mezőkeresztes	2005	2010.04.23
2723	Szent István	Csikóstöttös	2000	2008.07.25
2724	Rakovszky Sámuel	Gávavencsellő	2013	2016.10.26
2725	Szent István	Nyúl	1938	2016.10.24
2726	Fáy András	Gomba	1987	2017.04.28
2727	Szegedy Róza	Badacsonytomaj-Badacsony	2018	2018.08.31
2728	Kossuth Lajos	Tiszalúc	2016	2017.04.23
2729	Petőfi Sándor	Miskolc	1948	2016.08.07
2730	Kitaibel Pál	Pécs	1999	2008.04.11
2731	Szent István	Kaba	2000	2009.10.15
2732	Bartók Béla	Budapest	2000	2014.09.25
2733	Szent István	Kisköre	2006	2009.07.29
2734	Hugonnay Vilma	Budapest	1980	2011.01.15
2735	Andrássy Dénes	Budapest	1915	2018.01.08
2736	Kossuth Lajos	Kalocsa	2009	2010.05.25
2737	Hollósy Kornélia	Budapest		2014.02.02
2738	Bem József	Kiskőrös	1969	2012.10.22
2739	Erzsébet királyné	Gyula	1904	2008.10.26
2740	Mikszáth Kálmán	Balassagyarmat	1953	2014.06.29
2741	Zsigmondy Richárd	Eger	2000	2011.09.04
2742	Verebélÿ László	Tatabánya	1983	2010.03.31
2743	József Attila	Dombóvár	2005	2008.05.24
2744	Móricz Zsigmond	Mezőtúr	1976	2010.09.17
2745	Pázmány Péter	Budapest	1928	2013.03.23
2746	Nagyváthy János	Budapest	1960	2009.04.02
2747	Juhász Gyula	Szeged	1960	2015.11.19
2748	Leonardo da Vinci	Kőszeg	1975	2012.10.25
2749	Széchenyi István gróf	Budapest	2003	2009.06.19
2750	Pázmány Péter	Piliscsaba	2006	2012.01.18
2751	Kazinczy Ferenc	Abony	1973	2010.09.01
2752	Marx	Székesfehérvár		2017.09.25
2753	Csokonai Vitéz Mihály	Dunaalmás	1963	2009.08.30
2754	Szent István	Sopronkövesd	2015	2015.08.29
2755	Kossuth Lajos	Badacsonytomaj-Badacsony	2018	2018.09.07
2756	Kálvin János	Vizsoly	2017	2017.10.11
2757	Zrínyi Ilona	Kaposvár	1973	2012.07.11
2758	Verő József	Sopron	2006	2010.04.29
2759	Apponyi Albert gróf	Budapest	1926	2017.05.23
2760	Fábián Dezső	Budapest	1994	2012.07.17
2761	IV. Béla	Ópusztaszer	2001	2010.05.13
2762	Serák Károly	Budapest	1989	2010.04.19
2763	Széchenyi István gróf	Csokonyavisonta	2002	2012.06.21
2764	Kós Károly	Miskolc	2008	2011.05.05
2765	Greguss Ágost	Budapest	1913	2008.07.16
2766	Szent László	Pusztaszentlászló	2010	2014.09.22
2767	Móra Ferenc	Szeged	1935	2012.10.26
2768	Wosinsky Mór	Szekszárd	1982	2007.11.07
2769	Klebelsberg Kuno	Marcali	2003	2009.04.02
2770	Szent Erzsébet	Hévíz	2007	2008.07.26
2771	Gráf László	Zalaegerszeg	2011	2012.10.10
2772	Sajnovics János	Tordas	1943	2010.09.22
2773	Széchenyi István gróf	Kalocsa	2009	2010.05.25
2774	Zrínyi Miklós	Pécs	1956	2017.03.20
2775	Lengyel József	Marcali	1986	2009.02.16
2776	Masch Antal	Mosonmagyaróvár	2014	2014.12.18
2777	Gregor József	Szeged	2010	2010.08.08
2778	II. Rákóczi Ferenc	Hajdúböszörmény-Hajdúvid	1964	2012.08.30
2779	Szent István	Bóly	2009	2014.01.21
2780	Semmelweis Ignác	Szigethalom	2003	2015.06.11
2781	Zwack József	Békéscsaba	2015	2015.03.07
2782	Táncsics Mihály	Izsák	1974	2010.02.02
2783	Simonyi Imre	Gyula	2003	2009.10.08
2784	Csillagh László	Zalaegerszeg	1998	2013.03.25
2785	Petőfi Sándor	Kaposvár	1955	2010.05.14
2786	Liszt Ferenc	Budapest	1996	2012.05.05
2787	Verancsics Antal	Szeged	1932	2018.07.11
2788	Genersich Antal	Budapest	1912	2009.10.05
2789	Szent László	Baja	2005	2010.11.26
2790	Wass Albert	Taksony	2008	2010.03.03
2791	Haan Lajos	Békéscsaba	1971	2009.11.23
2792	Vörösmarty Mihály	Székesfehérvár	1987	2017.08.12
2793	Liszt Ferenc	Budapest	1933	2011.02.12
2794	Jesch Aladár	Zalaegerszeg	2018	2018.10.11
2795	Széchenyi István gróf	Kisköre	2007	2015.10.02
2796	Balassi Bálint	Budapest	1999	2014.03.19
2797	II. János Pál pápa	Csurgó	2012	2013.01.15
2798	Antall József	Budapest	2018	2018.12.15
2799	Nyizsnyay Gusztáv	Hódmezővásárhely	1900	2010.02.19
2800	Hunyadi Mátyás	Budapest	1896	2015.02.14
2801	Ady Endre	Makó	2003	2012.12.19
2802	Franz Fühmann	Kiskőrös	1989	2011.03.02
2803	Dózsa György	Hatvan	1978	2011.09.18
2804	Bognár István	Balatonkenese	2005	2014.05.05
2805	Kossuth Lajos	Székesfehérvár	1970	2011.10.27
2806	Szobonya Zoltán	Mélykút	2016	2016.10.27
2807	Bátki József	Salgótarján	2002	2010.11.13
2808	Petőfi Sándor	Piliscsaba	2006	2012.01.09
2809	Barabás Miklós	Budapest	2004	2009.10.21
2810	Gábor Andor	Budapest	1984	2008.11.21
2811	Horthy Miklós	Budapest	2007	2014.09.08
2812	Szabó Ervin	Budapest		2015.11.16
2813	Bory Jenő	Székesfehérvár	1998	2009.07.20
2814	Kránitz Lajos	Budapest	2013	2016.01.26
2815	Lajos Iván	Pécs	2002	2008.04.11
2816	József Attila	Székesfehérvár	1973	2015.06.08
2817	II. Rákóczi Ferenc	Szany	2013	2014.05.21
2818	Endrődi Sándor	Alsóörs	2011	2014.01.31
2819	Erkel Ferenc	Szeged	1930	2010.06.13
2820	Teleki Blanka	Zánka	2010	2010.12.10
2821	Rehling Konrád	Tatabánya	2018	2018.02.14
2822	Balassa János	Budapest		2008.11.17
2823	Batthyány Kázmér	Siklós	1971	2010.07.08
2824	Romzsa Teodor	Lakitelek	2001	2010.06.29
2825	Joe Murányi	Bánk	2014	2016.05.16
2826	Hollósy Kornélia	Makó	1903	2009.11.17
2827	Arany János	Miskolc	1994	2011.03.20
2828	Bartók Béla	Békéscsaba	1975	2009.11.24
2829	Hunyadi Mátyás	Budapest	1988	2017.03.31
2830	Fényes Adolf	Kecskemét	1961	2008.05.11
2831	Batthyány Kázmér	Kisbér	2000	2009.12.11
2832	Gutenberg	Pécs	1910	2008.02.03
2833	Litschauer Lajos	Miskolc-Egyetemváros	1914	2014.12.06
2834	Széchenyi István gróf	Nyíregyháza	1993	2009.08.21
2835	Egressy Béni	Simontornya	1989	2008.06.15
2836	Kemény Gábor	Békéscsaba	1983	2014.04.04
2837	Páger Antal	Makó	1999	2009.11.28
2838	Kossuth Lajos	Kisköre	2008	2015.10.19
2839	Santiago Ramón y Cajal	Budapest	2013	2015.01.14
2840	Schweidel József	Budapest	2013	2014.05.02
2841	Simon Bolivar	Budapest	1983	2009.05.29
2842	Táncsics Mihály	Budapest		2009.12.18
2843	Erkel Ferenc	Gyula	1896	2009.07.26
2844	Bory Jenő	Székesfehérvár	2000	2012.01.29
2845	Kossuth Lajos	Sárrétudvari	1998	2013.01.20
2846	Szilágyi Dániel	Hajdúhadház	2014	2014.10.31
2847	Éhen Gyula	Szombathely	2003	2011.03.10
2848	Gárdonyi Géza	Dabrony	2004	2013.05.20
2849	Lestár Péter	Kecskemét	1986	2014.04.24
2850	Komócsy József	Budapest	1903	2014.01.13
2851	Pöltenberg Ernő	Badacsonytomaj-Badacsony	2018	2018.09.05
2852	Pöltenberg Ernő	Nagykanizsa	2000	2016.01.26
2853	Wass Albert	Verőce	2005	2010.10.18
2854	Liszt Ferenc	Budapest	1867	2011.05.20
2855	Návay Tamás	Makó	1998	2009.11.27
2856	Kármán Tódor	Paks	2004	2009.11.15
2857	Fekete István	Ádánd	1974	2012.11.19
2858	Grigol Abasidze	Kiskőrös	2010	2010.11.08
2859	Erdélyi János	Sárospatak	1914	2009.05.27
2860	Horthy Miklós	Gyöngyös-Mátraháza		2013.10.07
2861	Benczúr Gyula	Szécsény-Benczúrfalva	1974	2010.10.12
2862	Kossuth Lajos	Balmazújváros	1898	2009.08.30
2863	Attila	Tápiószentmárton	2003	2014.06.03
2864	Szent István	Pereszteg	2014	2014.09.24
2865	Tatay Zoltán ifj.	Szerencs	2017	2017.10.21
2866	Szent László	Mátraszentimre-Mátraszentlászló	2018	2018.07.10
2867	Kiss Ferenc	Szeged	1960	2010.06.28
2868	Gruber Ferenc	Szarvas	1981	2010.11.08
2869	Szent István	Mándok	2000	2014.11.21
2870	Szepessy Ignác	Mohács	2009	2014.03.04
2871	Vasvári Pál	Nyírvasvári	1976	2013.11.09
2872	Germanus Gyula	Budapest	2007	2009.06.18
2873	Wass Albert	Jászárokszállás	2013	2013.11.19
2874	Fényi Gyula	Kalocsa	1970	2008.04.20
2875	Hegedűs Gyula	Budapest	1933	2011.02.10
2876	Mindszenty József	Bercel	2014	2014.12.27
2877	Janikovszky Éva	Szeged	2010	2010.10.22
2878	Vak Bottyán	Siófok	1961	2009.10.17
2879	Schoepf-Merei Ágoston (Schöpf)	Budapest	2003	2010.04.17
2880	Padányi Bíró Márton	Sümeg	1990	2008.07.27
2881	Harsányi János	Eger	2000	2011.09.03
2882	Prinz Gyula	Pécs	1999	2008.04.11
2883	Holló Lajos	Kiskunfélegyháza	1926	2009.10.06
2884	Sándor "Csikar" Károly	Szeged	2016	2016.06.14
2885	Ney Dávid	Budapest		2015.12.16
2886	Brunszvik Teréz	Szarvas	1871	2013.05.13
2887	Ruttkai Éva	Budapest	1976	2012.03.14
2888	Götz János	Hercegkút	2001	2016.04.07
2889	Gyulai Zoltán	Budapest	1959	2012.01.07
2890	Wass Albert	Hódmezővásárhely	2010	2010.06.12
2891	Neumann János	Paks	1995	2009.11.15
2892	Lenin	Szekszárd	1976	2014.02.23
2893	Apáthy István	Szeged	1930	2011.06.17
2894	Vermes Miklós	Sopron	2005	2009.10.24
2895	Rados Gusztáv	Budapest	1954	2011.10.26
2896	Liszt Ferenc	Kőszeg	2013	2013.11.27
2897	Móra Ferenc	Szeged	1969	2016.09.12
2898	Cséti Ottó	Miskolc-Egyetemváros	1910	2014.07.27
2899	Kozma Ferenc	Mezőhegyes	1893	2010.09.08
2900	Bocskai István	Hajdúböszörmény	1984	2009.06.24
2901	Hevesy György	Paks	1995	2009.11.15
2902	Klebelsberg Kuno	Székesfehérvár	2000	2011.07.19
2903	Baross Gábor	Győr	1900	2012.09.25
2904	Korányi Imre	Budapest	2006	2009.01.17
2905	Bencsik István	Debrecen	2010	2010.09.16
2906	Kövesligethy Radó	Budapest	1999	2011.11.23
2907	Puskin	Budapest	2017	2018.02.26
2908	Széchenyi István gróf	Tapolca	2000	2018.01.01
2909	Horthy Miklós	Szekszárd	1930	2016.05.11
2910	Bláthy Ottó Titusz	Göd	1973	2013.04.11
2911	Mikes János	Szombathely	1937	2015.10.31
2912	Lenin	Balassagyarmat	1976	2014.08.30
2913	Petőfi Sándor	Dunaújváros	1973	2010.04.11
2914	Várkonyi István	Cegléd	1973	2013.03.12
2915	II. Rákóczi Ferenc	Tápiószentmárton	2003	2014.06.05
2916	Kölcsey Ferenc	Szeged	2001	2008.01.28
2917	Thomas Mann	Budapest	1987	2010.05.22
2918	Károli Gáspár	Mátészalka	2009	2010.07.04
2919	Darnay Kálmán	Sümeg	1904	2018.01.13
2920	Tompa Mihály	Budapest	1940	2008.11.14
2921	Zsolnay Vilmos	Budapest		2013.11.22
2922	Gulyás Pál	Debrecen	1974	2014.09.26
2923	Baumhorn Lipót	Szolnok	2004	2009.10.26
2924	Előd vezér	Bükkzsérc	2016	2017.11.22
2925	Petőfi Sándor	Putnok	2014	2014.03.15
2926	Hunyadi Mátyás	Ópusztaszer	2001	2010.05.16
2927	József Attila	Ózd	1967	2009.11.13
2928	Steinmetz Miklós	Komló	1970	2009.07.10
2929	II. Rákóczi Ferenc	Eger	2012	2013.02.09
2930	Deák Ferenc	Eger	2012	2012.05.30
2931	Jedlik Ányos	Budapest	1961	2015.02.24
2932	Erdei Ferenc	Nagykőrös	1977	2015.04.04
2933	Hriszto Botev	Veszprém	1980	2009.09.29
2934	Moór Arthur	Sopron	2010	2010.12.14
2935	Szent István	Kemendollár	2010	2018.07.11
2936	Berda József	Budapest	1983	2009.10.11
2937	Arany János	Szeged	1930	2010.06.12
2938	Zaymus Gyula	Budapest	1932	2016.05.15
2939	Ferenc József	Szeged	1931	2011.07.14
2940	Erzsébet királyné	Esztergom	1926	2010.03.04
2941	Móricz Zsigmond	Tiszaújváros	2001	2009.05.08
2942	Száva-Kováts József	Budapest	1999	2011.12.29
2943	Fadrusz János	Budapest	2010	2010.09.13
2944	Schönherz Zoltán	Kecel	1965	2018.10.29
2945	Baross Gábor	Parasznya		2011.08.28
2946	Bánhidi László	Keszthely	2014	2018.08.27
2947	Kálvin János	Sajólád	2017	2017.10.31
2948	Csengődy Lajos	Salgótarján	2000	2010.11.14
2949	Sebes György	Szeghalom	1965	2016.10.28
2950	Kossuth Lajos	Dunavarsány	2015	2017.03.26
2951	Kossuth Lajos	Nagyharsány	1903	2010.10.04
2952	Holló László id.	Kiskunfélegyháza	2009	2009.10.13
2953	Somogyi Imre	Budapest	1978	2011.01.30
2954	Jedlik Ányos	Győr	1956	2016.04.30
2955	Gyulai Zoltán	Zalaegerszeg	1986	2012.08.16
2956	Mindszenty József	Budapest	2015	2015.11.18
2957	Fodor Ferenc	Szolnok	1973	2012.01.18
2958	Kossuth Lajos	Budapest	1954	2009.06.06
2959	Kodály Zoltán	Dunaújváros	1974	2009.09.21
2960	Szőnyi István	Budapest	1978	2008.08.05
2961	Nagy Bálint	Budapest	2018	2018.08.30
2962	Mohácsy Mátyás	Budapest	1976	2009.02.16
2963	Szent István	Nagyszakácsi	2000	2008.11.26
2964	Bajcsy-Zsilinszky Endre	Kővágóörs-Pálköve	2016	2017.10.22
2965	Zajti Ferenc	Újfehértó	2001	2014.11.19
2966	Krúdy Gyula	Szécsény	1968	2012.06.25
2967	Szent István	Vág	2010	2013.03.05
2968	Ilenczfalvi Sárkány József	Dunaegyháza	2017	2018.04.30
